file,dg_wer,dg_hallucination,sv_wer,sv_hallucination,ws_wer,ws_hallucination
fleurs_0,0.0833,False,0.0833,False,0.2917,False
fleurs_1,0.125,False,0.05,False,0.275,False
fleurs_2,0.069,False,0.1034,False,0.4138,False
fleurs_3,0.1667,False,0.0833,False,0.5,False
fleurs_4,0.1111,False,0.0556,False,0.4444,False
fleurs_5,0.0385,False,0.0769,False,0.3077,False
fleurs_6,0.0769,False,0.1282,False,0.4872,False
fleurs_7,0.3,False,0.2,False,0.4,False
fleurs_8,0.2381,False,0.0952,False,0.2857,False
fleurs_9,0.2368,False,0.0526,False,0.3684,False
fleurs_10,0.3462,False,0.3077,False,1.0,False
fleurs_11,0.2083,False,0.1667,False,0.4583,False
fleurs_12,0.1667,False,0.2222,False,0.5,False
fleurs_13,0.08,False,0.08,False,0.24,False
fleurs_14,0.122,False,0.0976,False,0.1951,False
fleurs_15,0.08,False,0.12,False,0.4,False
fleurs_16,0.0,False,0.08,False,0.56,False
fleurs_17,0.1282,False,0.1282,False,0.4872,False
fleurs_18,0.2222,False,0.2222,False,0.4444,False
fleurs_19,0.1765,False,0.2353,False,0.5882,False
